"filename", "language", "Markdown", "JSON with Comments", "TypeScript", "PostCSS", "JavaScript", "JSON", "XML", "TypeScript JSX", "YAML", "MS SQL", "comment", "blank", "total"
"c:\Users\ashis\edwise\README.md", "Markdown", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\ashis\edwise\ai\client\index.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\ashis\edwise\ai\client\nodemon.json", "JSON", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"c:\Users\ashis\edwise\ai\client\package-lock.json", "JSON", 0, 0, 0, 0, 0, 1701, 0, 0, 0, 0, 0, 1, 1702
"c:\Users\ashis\edwise\ai\client\package.json", "JSON", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 23
"c:\Users\ashis\edwise\ai\client\tsconfig.json", "JSON with Comments", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\ashis\edwise\ai\server\index.ts", "TypeScript", 0, 0, 191, 0, 0, 0, 0, 0, 0, 0, 1, 22, 214
"c:\Users\ashis\edwise\ai\server\nodemon.json", "JSON", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"c:\Users\ashis\edwise\ai\server\package-lock.json", "JSON", 0, 0, 0, 0, 0, 1485, 0, 0, 0, 0, 0, 1, 1486
"c:\Users\ashis\edwise\ai\server\package.json", "JSON", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\ashis\edwise\ai\server\tsconfig.json", "JSON with Comments", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\ashis\edwise\backend\README.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\ashis\edwise\backend\drizzle.config.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\ashis\edwise\backend\drizzle\0000_easy_pyro.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 8, 0, 72
"c:\Users\ashis\edwise\backend\drizzle\meta\0000_snapshot.json", "JSON", 0, 0, 0, 0, 0, 486, 0, 0, 0, 0, 0, 0, 486
"c:\Users\ashis\edwise\backend\drizzle\meta\_journal.json", "JSON", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
"c:\Users\ashis\edwise\backend\nodemon.json", "JSON", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"c:\Users\ashis\edwise\backend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 2918, 0, 0, 0, 0, 0, 1, 2919
"c:\Users\ashis\edwise\backend\package.json", "JSON", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"c:\Users\ashis\edwise\backend\src\controllers\user.controller.ts", "TypeScript", 0, 0, 364, 0, 0, 0, 0, 0, 0, 0, 5, 45, 414
"c:\Users\ashis\edwise\backend\src\database\db.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
