Date : 2025-06-27 22:03:45
Directory : c:\Users\ashis\edwise
Total : 141 files,  27208 codes, 314 comments, 1778 blanks, all 29300 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         24 |     13,639 |          0 |         11 |     13,650 |
| TypeScript JSX     |         79 |      8,356 |        166 |        836 |      9,358 |
| YAML               |          1 |      3,588 |          0 |        706 |      4,294 |
| TypeScript         |         15 |      1,217 |        138 |        189 |      1,544 |
| PostCSS            |          2 |        193 |          0 |         10 |        203 |
| JSON with Comments |          4 |         69 |          0 |          4 |         73 |
| MS SQL             |          1 |         64 |          8 |          0 |         72 |
| JavaScript         |         10 |         43 |          2 |          5 |         50 |
| Markdown           |          3 |         37 |          0 |         17 |         54 |
| XML                |          2 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                  |        141 |     27,208 |        314 |      1,778 |     29,300 |
| . (Files)                                                                          |          1 |          7 |          0 |          0 |          7 |
| ai                                                                                 |         10 |      3,481 |          1 |         35 |      3,517 |
| ai\client                                                                          |          5 |      1,765 |          0 |          9 |      1,774 |
| ai\server                                                                          |          5 |      1,716 |          1 |         26 |      1,743 |
| backend                                                                            |         14 |      4,090 |         27 |         86 |      4,203 |
| backend (Files)                                                                    |          6 |      2,991 |          0 |         11 |      3,002 |
| backend\drizzle                                                                    |          3 |        563 |          8 |          0 |        571 |
| backend\drizzle (Files)                                                            |          1 |         64 |          8 |          0 |         72 |
| backend\drizzle\meta                                                               |          2 |        499 |          0 |          0 |        499 |
| backend\src                                                                        |          5 |        536 |         19 |         75 |        630 |
| backend\src (Files)                                                                |          1 |         19 |          0 |          5 |         24 |
| backend\src\controllers                                                            |          1 |        364 |          5 |         45 |        414 |
| backend\src\database                                                               |          2 |         83 |          7 |         12 |        102 |
| backend\src\database (Files)                                                       |          1 |          4 |          0 |          3 |          7 |
| backend\src\database\schema                                                        |          1 |         79 |          7 |          9 |         95 |
| backend\src\routes                                                                 |          1 |         70 |          7 |         13 |         90 |
| frontend                                                                           |        116 |     19,630 |        286 |      1,657 |     21,573 |
| frontend (Files)                                                                   |         11 |     10,669 |          8 |        730 |     11,407 |
| frontend\.next                                                                     |         19 |         85 |        106 |         15 |        206 |
| frontend\.next (Files)                                                             |          4 |         22 |          0 |          0 |         22 |
| frontend\.next\server                                                              |         10 |         36 |          0 |          1 |         37 |
| frontend\.next\static                                                              |          3 |          3 |          0 |          1 |          4 |
| frontend\.next\static\chunks                                                       |          1 |          1 |          0 |          1 |          2 |
| frontend\.next\static\development                                                  |          2 |          2 |          0 |          0 |          2 |
| frontend\.next\types                                                               |          2 |         24 |        106 |         13 |        143 |
| frontend\app                                                                       |          7 |        363 |          0 |         29 |        392 |
| frontend\app (Files)                                                               |          3 |        140 |          0 |         10 |        150 |
| frontend\app\askai                                                                 |          1 |        102 |          0 |          8 |        110 |
| frontend\app\dashboard                                                             |          1 |         49 |          0 |          3 |         52 |
| frontend\app\onboarding                                                            |          1 |         26 |          0 |          2 |         28 |
| frontend\app\test                                                                  |          1 |         46 |          0 |          6 |         52 |
| frontend\components                                                                |         73 |      8,241 |        169 |        839 |      9,249 |
| frontend\components (Files)                                                        |         18 |      3,243 |         87 |        217 |      3,547 |
| frontend\components\magicui                                                        |          5 |        564 |         65 |         40 |        669 |
| frontend\components\ui                                                             |         50 |      4,434 |         17 |        582 |      5,033 |
| frontend\hooks                                                                     |          2 |        175 |          3 |         37 |        215 |
| frontend\lib                                                                       |          1 |          5 |          0 |          2 |          7 |
| frontend\public                                                                    |          2 |          2 |          0 |          0 |          2 |
| frontend\styles                                                                    |          1 |         90 |          0 |          5 |         95 |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                           | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\ashis\edwise\README.md                                                    | Markdown           |          7 |          0 |          0 |          7 |
| c:\Users\ashis\edwise\ai\client\index.ts                                           | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\ashis\edwise\ai\client\nodemon.json                                       | JSON               |         12 |          0 |          1 |         13 |
| c:\Users\ashis\edwise\ai\client\package-lock.json                                  | JSON               |      1,701 |          0 |          1 |      1,702 |
| c:\Users\ashis\edwise\ai\client\package.json                                       | JSON               |         22 |          0 |          1 |         23 |
| c:\Users\ashis\edwise\ai\client\tsconfig.json                                      | JSON with Comments |         14 |          0 |          1 |         15 |
| c:\Users\ashis\edwise\ai\server\index.ts                                           | TypeScript         |        191 |          1 |         22 |        214 |
| c:\Users\ashis\edwise\ai\server\nodemon.json                                       | JSON               |         12 |          0 |          1 |         13 |
| c:\Users\ashis\edwise\ai\server\package-lock.json                                  | JSON               |      1,485 |          0 |          1 |      1,486 |
| c:\Users\ashis\edwise\ai\server\package.json                                       | JSON               |         14 |          0 |          1 |         15 |
| c:\Users\ashis\edwise\ai\server\tsconfig.json                                      | JSON with Comments |         14 |          0 |          1 |         15 |
| c:\Users\ashis\edwise\backend\README.md                                            | Markdown           |         12 |          0 |          5 |         17 |
| c:\Users\ashis\edwise\backend\drizzle.config.ts                                    | TypeScript         |         10 |          0 |          2 |         12 |
| c:\Users\ashis\edwise\backend\drizzle\0000_easy_pyro.sql                           | MS SQL             |         64 |          8 |          0 |         72 |
| c:\Users\ashis\edwise\backend\drizzle\meta\0000_snapshot.json                      | JSON               |        486 |          0 |          0 |        486 |
| c:\Users\ashis\edwise\backend\drizzle\meta\_journal.json                           | JSON               |         13 |          0 |          0 |         13 |
| c:\Users\ashis\edwise\backend\nodemon.json                                         | JSON               |         12 |          0 |          1 |         13 |
| c:\Users\ashis\edwise\backend\package-lock.json                                    | JSON               |      2,918 |          0 |          1 |      2,919 |
| c:\Users\ashis\edwise\backend\package.json                                         | JSON               |         25 |          0 |          1 |         26 |
| c:\Users\ashis\edwise\backend\src\controllers\user.controller.ts                   | TypeScript         |        364 |          5 |         45 |        414 |
| c:\Users\ashis\edwise\backend\src\database\db.ts                                   | TypeScript         |          4 |          0 |          3 |          7 |
| c:\Users\ashis\edwise\backend\src\database\schema\schema.ts                        | TypeScript         |         79 |          7 |          9 |         95 |
| c:\Users\ashis\edwise\backend\src\index.ts                                         | TypeScript         |         19 |          0 |          5 |         24 |
| c:\Users\ashis\edwise\backend\src\routes\user.routes.ts                            | TypeScript         |         70 |          7 |         13 |         90 |
| c:\Users\ashis\edwise\backend\tsconfig.json                                        | JSON with Comments |         14 |          0 |          1 |         15 |
| c:\Users\ashis\edwise\frontend\.next\app-build-manifest.json                       | JSON               |          3 |          0 |          0 |          3 |
| c:\Users\ashis\edwise\frontend\.next\build-manifest.json                           | JSON               |         17 |          0 |          0 |         17 |
| c:\Users\ashis\edwise\frontend\.next\package.json                                  | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\ashis\edwise\frontend\.next\react-loadable-manifest.json                  | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\ashis\edwise\frontend\.next\server\app-paths-manifest.json                | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\ashis\edwise\frontend\.next\server\interception-route-rewrite-manifest.js | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\ashis\edwise\frontend\.next\server\middleware-build-manifest.js           | JavaScript         |         18 |          0 |          1 |         19 |
| c:\Users\ashis\edwise\frontend\.next\server\middleware-manifest.json               | JSON               |          6 |          0 |          0 |          6 |
| c:\Users\ashis\edwise\frontend\.next\server\middleware-react-loadable-manifest.js  | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\ashis\edwise\frontend\.next\server\next-font-manifest.js                  | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\ashis\edwise\frontend\.next\server\next-font-manifest.json                | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\ashis\edwise\frontend\.next\server\pages-manifest.json                    | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\ashis\edwise\frontend\.next\server\server-reference-manifest.js           | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\ashis\edwise\frontend\.next\server\server-reference-manifest.json         | JSON               |          5 |          0 |          0 |          5 |
| c:\Users\ashis\edwise\frontend\.next\static\chunks\polyfills.js                    | JavaScript         |          1 |          0 |          1 |          2 |
